Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
friteuse sans huile tefal,"Informational, Transactional",1600,26,0.20,"Image pack, Video, People also ask, Related searches, Popular products, Shopping ads"
friteuse à air chaud lidl,"Informational, Transactional",1600,29,0.13,"Image pack, Video, People also ask, Related searches, Popular products"
ninja friteuse sans huile,Transactional,1600,31,0.22,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads"
friteuse action,"Informational, Transactional",1900,35,0.20,"Image pack, Video, People also ask, Related searches, Shopping ads"
friteuse gaz,"Informational, Transactional",1900,10,0.56,"Image pack, Video, Related searches, Popular products, Shopping ads"
friteuse lidl,"Informational, Transactional",1900,30,0.15,"Image pack, Video, People also ask, Related searches, Popular products"
friteuse sans huile carrefour,"Informational, Transactional",1900,31,0.32,"Image, Image pack, Video, People also ask, Related searches, Popular products"
seb la friteuse sans huile,"Informational, Transactional",1900,29,0.29,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
friteuse electro depot,"Navigational, Transactional",2400,31,0.11,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
friteuse leclerc,"Informational, Transactional",2400,32,0.12,"Image pack, Video, People also ask, Related searches, Popular products, Shopping ads"
friteuse sans huile philips,"Informational, Transactional",2400,38,0.31,"Image, Image pack, Video, People also ask, Related searches, Popular products"
friteuse seb sans huile,"Informational, Transactional",2400,24,0.29,"Sitelinks, Image pack, Video, Related searches, Popular products"
seb friteuse sans huile,"Informational, Transactional",2400,23,0.29,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
friteuse sans huile moulinex,"Informational, Transactional",2900,31,0.21,"Image pack, Video, People also ask, Related searches, Popular products"
friteuse électrique,"Informational, Transactional",2900,28,0.29,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
moulinex friteuse sans huile,"Informational, Transactional",2900,31,0.21,"Image pack, Video, People also ask, Related searches, Popular products"
friteuse sans huile seb,"Informational, Transactional",3600,30,0.29,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
friteuse seb,"Informational, Transactional",3600,30,0.24,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
friteuses,"Informational, Transactional",3600,44,0.22,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
friteuse moulinex,"Informational, Transactional",4400,32,0.15,"Image pack, Video, People also ask, Related searches, Popular products, Shopping ads"
friteuse tefal,"Informational, Transactional",4400,26,0.23,"Sitelinks, Image pack, Video, Related searches, Popular products"
friteuse professionnelle,"Informational, Transactional",5400,21,0.74,"Image pack, Video, People also ask, Related searches, Popular products, Shopping ads"
friteuses electrique,"Informational, Transactional",5400,43,0.29,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads"
friteuse air fryer,"Informational, Transactional",9900,45,0.32,"Image pack, Video, People also ask, Related searches, Popular products"
friteuse ninja,Transactional,9900,32,0.17,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
friteuse à air chaud,"Informational, Transactional",22200,39,0.28,"Image pack, Video, People also ask, Related searches, Popular products"
